Claim,Source
New York City has the right to regulate the size of sodas bought on the market,idebate
Google shouldn’t censor its search results in China,idebate
"African nations should ban the sale of skin whitening creams, and similar products",idebate
Online gambling has to be banned,idebate
We must hold a referendum on UK membership in the EU,idebate
The United States is justified in using private military firms abroad to pursue its military objectives,debatewise
Atheist countries are more benevolent,debatewise
Co2 Does Not Cause Global Warming,debatewise
The ‘war on terror’ is winnable,debatewise
A Ban on Shark Fin Soup Is Necessary to Protect the Shark from Extinction,debatewise
Governments Should Put Wealth Redistribution Ahead Of Wealth Creation,debatewise
South Ossetia should be independent,idebate
Show the darker side of the formation of the nation,idebate
It is selfish to have more than two children,debatewise
"Use of goal line technology in football is overdue, and can only lead to benefits.",debatewise
Western universities should only place satellites in states that respect free speech,idebate
Religion does more harm than good,idebate
The ICC should have its own enforcement arm,idebate
I believe in manned space flight,idebate
The 2022 Football World Cup must be moved to the winter,idebate
"G20 protests – at best a waste of time, at worst a dangerous disruption",debatewise
Cars Should Be Banned From City Centres,debatewise
The United States should ban assault weapons,idebate
The teaching of Shakespeare should be compulsory,debatewise
I believe in the Right to be forgotten,idebate
Homosexuals should be able to adopt,idebate
The West should invade Syria,idebate
physical fitness is better than mental fitness,debatewise
The threat of Climate Change is exaggerated,debatewise
Women are the key to Africa’s economic future,idebate
The agreement between Russia and Great Britain in 1907 was inevitable,debatewise
The right to asylum should not be absolute,idebate
Allow pharmaceutical companies to advertise directly to consumers,idebate
Unilateral nuclear disarmament is the best way to create a safer world,debatewise
Improving access to contraception will lower the number of teenage pregnancies,debatewise
The northern Ireland would be better off if united with the Republic of Ireland,idebate
It should be compulsory for all mothers to breastfeed for the first six months of their babies lives,debatewise
The Church of England should be separated from the British state.,idebate
"We must be a libertarian; right or left, right or wrong",idebate
The Private Education System Should Be Abolished,debatewise
Sanctuary cities are beneficial,procon
Swearing should be illegal,debatewise
Promote safe sex through education at schools,idebate
Remotely Controlled Weapons Systems Should Not Be Used In Combat,debatewise
Books will be replaced at some point,debatewise
Children Should Have The Right To Vote In Elections,debatewise
Julian Assange is a journalist,idebate
The African Union can meet its pledge to end all war on the continent by 2020,idebate
Israel should return to its pre-1967 borders,idebate
Abolish standardized tests for University Admission,idebate
Positive discrimination must be used to put more women in parliament,idebate
Security profiling at airports is justified,idebate
German prosecutors should investigate NSA surveillance of Angela Merkel,idebate
Women should be allowed on the front line,debatewise
English has to become the official language of the United States,idebate
There is life on other planets,debatewise
We must support the Scottish Independence,idebate
Individuals who have committed atrocities in the Syrian Civil War should be investigated by the ICC,idebate
We should prize freedom over security and abolish anti-terrorism legislation,debatewise
People should become vegetarian,procon
A fat tax should be implemented.,idebate
"Remove the words ""under God"" from the American Pledge of Allegiance",idebate
It does matter where you go to university or college,debatewise
Western companies have to incentivised to build software that provides anonymity to those involved in uprisings,idebate
Physical Chastisement of Children Should Be Illegal,debatewise
A common EU foreign policy should be favored,idebate
The USA Legal Drinking Age Should Be Lowered to 18 From 21,debatewise
Too much importance is placed upon correct spelling and grammar,debatewise
Leaders of countries that use extra-territorial rendition should be tried for war crimes,debatewise
The Egyptian army was right to depose Morsi,idebate
Parents should be held responsible for their school-going children's discipline problems,idebate
Internet service providers should be allowed to block access to extremist websites,idebate
Music that glorifies violence against women should be banned,debatewise
Russia needs strong leadership,idebate
There Should be an English Parliament,debatewise
Suicide should be a criminal offence,idebate
Online education does more good than harm,debatewise
Music should be free for all,debatewise
The lack of investment in teachers is the greatest barrier to achieving universal primary education,idebate
The payment of welfare benefits to parents should be tied to their children's school attendance records,idebate
Employees Should Be Compelled To Disclose Their HIV Status to Employers,idebate
Minors Should Be Able to Obtain Abortions Without Parental Consent,debatewise
Belief in God is irrational,idebate
Danish newspapers should not have published cartoons depicting the Prophet Mohammed,idebate
A “fat tax” should be introduced.,idebate
The government of Uganda has failed its citizens over LGBT rights,idebate
We should support the creation of a Free Trade Area of the Americas,idebate
The Illegality Of Recreational Drugs Does More Harm Than Good,debatewise
Implent the Virtual Doctor Project in Zambia,idebate
We should drop the sanctions against Cuba.,idebate
Use and Misuse of Internet,debatewise
The sale of violent video games/censor violent video games should be illegal,idebate
European Parliament elections should involve only one voting district: all of Europe and not separate country seats,idebate
The BBC should be free to blaspheme,idebate
Tanzania’s taxation on mobile phones is a good model,idebate
Terrorists Should Be Subject to the Geneva Conventions,idebate
Forced evictions are necessary for African cities to become global players.,idebate
Public health concerns justify compulsory immunization,debatewise
Cell phone radiation is safe,procon
Countries with very harsh training methods from participating in international competitions should be banned.,idebate
Space should not be used for military purposes,debatewise
Money Is the Root of All Evil,debatewise
Post conflict peace cannot be sustained without impartial justice,idebate
Plastic Bags should be banned,debatewise
Heavy drinkers should be denied liver transplants,debatewise
University Fees Should Be Scrapped,debatewise
We should support enforcing term limits on the executive branch of government,idebate
Students should have to wear school uniforms,procon
Indiscriminate NSA surveillance of the rest of the world hurts the United States,idebate
Launching a military coup against a democratic government can be justified,idebate
There should be a legally mandated ceiling on weekly working hours,idebate
"The world has to intervene in Syria to prevent, or respond to, the use of chemical weapons",idebate
Bribery is sometimes acceptable,idebate
Opinion polls harm the democratic process,idebate
The welfare system should be replaced with a negative income-tax model,debatewise
The world should intervene to prevent the collapse of the state in other countries,idebate
The human genome should be patented,debatewise
The US and Israel should join the International Criminal Court,idebate
That Israel’s West Bank Settlements are an Obstacle to Peace,idebate
We must support public service broadcasters,idebate
Gorbachev was a key player in the fall of the Berlin Wall,debatewise
Abolish the US Electoral College,idebate
Restrict the right to Habeas Corpus as part of efforts to combat terrorism,idebate
Positive discrimination has to be used to increase diversity in university,idebate
"All literature, art, photography, film and music should be released under Creative Commons licenses",idebate
Television is one of the most effective mediums through which to teach and inspire youngsters,debatewise
We should fear the power of government over the Internet,idebate
"Film stars, music stars and other popular entertainers should not be participating in party-political campaigns",idebate
It is appropriate to build a muslim community center (aka the ''Ground Zero Mosque'') near the World Trade Center site ,procon
"the teacher is always right, even when s/he is not.",debatewise
Replace aid with remittances,idebate
Poorer Countries Should Abandon Free Trade Agreements,debatewise
Romeo and Juliet is unsuccessful as a tragedy,debatewise
Stop the Olympic Games,debatewise
Illegal immigrants must be given drivers licenses,idebate
Religious education Should be a part of the School curriculum,debatewise
The Dalai Lama’s ‘third way’ in Tibet,idebate
Chocolate is good for you,debatewise
Assisted suicide should be legalized,idebate
Does Mother Nature rule the world,debatewise
Any vaccines should be required for children,procon
In a democracy all votes should be equal.,debatewise
Hate crime 'enhancements' are unjust,idebate
The UK is truly a democracy,debatewise
"As the developed world, we must fund African climate adaptation",idebate
Valentines Day is just a Hallmark ploy,debatewise
It is be ok to use racial profiling as part of airport security checks,idebate
Reality TV has gone too far,debatewise
The United Nations Security Council should be expanded,idebate
We must let Catalan hold an independence referendum,idebate
Governments Should Try To Reduce The Gap Between Their Richest And Poorest Citizens,debatewise
DNA testing is worth the money,debatewise
The EU does have a future,debatewise
Grant politicians immunity from prosecution,idebate
All illegal immigrants must be repatriated,idebate
Allow biased versions of history to be taught in schools,idebate
We should not slaughter animals which have not been stunned first.,idebate
The Minimum Driving Age Should Be Raised to 18,debatewise
Abolish congressional earmarks,idebate
Newspapers belong to the past,idebate
UK would have more influence outside the EU,idebate
Lowering the federal corporate income tax rate does create jobs,procon
We must enable free movement of labour across Africa to alleviate poverty disparities.,idebate
The Catholic Church is justified in forbidding the use of barrier methods of contraception,idebate
There is a need for developing tactical nuclear weapons,idebate
Examinations are a fair way of testing our knowledge,debatewise
We should pull out of the Article 98 Agreements that prevent US soldiers from being sent to the ICC for trial,idebate
Greece should default on its debt and return to the Drachma,idebate
Dictatorship is the best path to development,idebate
The state should provide broadband internet through nationalized companies,idebate
Immunity for head of state is a good idea,idebate
The Death Penalty Should Be Imposed For Acts Of Terror That Cause Death,debatewise
The US is Justified in Using Force to Prevent States From Acquiring Nuclear Weapons,idebate
There should be video replays for refs in football,debatewise
Raise the school leaving age to 18,idebate
Slang prevent young people from being able to communicate properly,debatewise
We must extend NATO membership to Georgia and Ukraine,idebate
Net neutrality should be restored,procon
"Obese people, in countries with a national health service, should face higher taxes",debatewise
States ought not possess nuclear weapons,debatewise
Foreign workers should be given the right to vote in local elections where they work,debatewise
Abolish nuclear weapons,idebate
We should ban the depiction of smoking in films,idebate
The US should have done more for Darfur,idebate
Wind farms are a good solution to the energy crisis,debatewise
The European Union should be a trade bloc rather than a political union,idebate
We must invade and forcibly reunify the Korean peninsula,idebate
Any society must have a national minimum wage,idebate
Europe still needs a constitution,idebate
"Democracy has to be imposed, if needed",idebate
Playoffs must be implemented in collegiate level american football,idebate
All evidence gathered by intelligence agencies should be admissible in courts of law,debatewise
Britain should join the Euro currency,idebate
Mandatory sentencing is fine.,idebate
Experience is the key success for entrepreneurship.,debatewise
Should the United States scale back the War on Drugs?,idebate
Corporal punishment be used in K-12 schools.,procon
The USA's social security schemes should be privatized,idebate
People on job seekers allowance who refuse a job should lose their benefits,debatewise
All third world debt should be dropped,debatewise
People should lose their jobs for saying the wrong thing,debatewise
The glass ceiling for women still exists,debatewise
You should always suspend directly delivered foreign development aid,idebate
Democracies should ban the display of communist and Nazi symbols,debatewise
We should ban the church of scientology,debatewise
Nations of the world should increase protection of the economic and social rights of migrants,idebate
The new technologies will make entrepreneurs of Africa’s youth,idebate
"In the conflict between Israel and Palestine, a two-state solution is better justified than a one-state solution",idebate
A Doping Cheat’s Entire Olympic Team Should Be Stripped Of Their Medals,debatewise
The outcome of the Paris Climate Conference needs to be an international treaty with binding emission cuts,idebate
The House of Lords should be reformed,idebate
Access to the websites that deny the Holocaust must be blocked,idebate
We must disband NATO,idebate
Co-Educational Schools Should Be Supported,debatewise
Racial quotas must be set in South African rugby,idebate
Russia is a land of democracy (not autocracy),debatewise
Civil Disobedience Can Be Justified,debatewise
Allow voting at 16 in European Parliament elections,idebate
Lady Macbeth is the real driving force behind King Duncan’s murder in Shakespeare’s Macbeth,debatewise
Same-Sex Marriage Should Be Legal,debatewise
All veto powers of individual EU member states must be lifted,idebate
"A new global body, the United Nations Committee for Internet Related Policies, take over internet governance.",idebate
Hold students legally responsible for bullying if it resulted in the victim's death,idebate
The United States return to a gold standard,procon
War criminals should be prosecuted,idebate
Death penalty is justified,idebate
Children in developing countries should be sponsored,idebate
The EU should offer asylum to women from countries which have legislation that discriminates against women,idebate
Abortion should be legal,procon
We should legalize drugs,idebate
Genetics is a defence to murder,debatewise
Wikileaks is a threat to national security,debatewise
The Police Should Use Racial Profiling To Tackle The Problems Of Illegal Immigration.,debatewise
Capital punishment should be abolished in Africa,idebate
The UN Human Rights Council should be abolished,debatewise
There must be a single European Union army,idebate
We should be trying to avoid contact with aliens.,debatewise
Defending the enemies of one's nation is legitimate free speech,idebate
NATO has succeeded in Afghanistan,idebate
The Arab Spring revolutions can create stable democracies.,idebate
Create a UN standing army,idebate
Housewives Are More Responsible Mothers Than Working Women,debatewise
Cease the exploitation of the Arctic Region,idebate
Criminal justice should focus more on rehabilitation,idebate
Cohabiting couples who wish to end their relationships should be allowed to request that the courts supervise the division of their property,idebate
Poetry should not be taught in schools,idebate
Partial birth abortions should be banned,idebate
We must ban the promotion of diets,idebate
A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions,idebate
There must be referendums held on any new EU treaty,idebate
Britain should adopt Sharia law,debatewise
Winning the Champions League Is Better Than Winning the Premier League,debatewise
We must legalize the use of cell phones in cars,idebate
Trade is better than aid,idebate
Celebrities should be exempt from National Service (in South Korea),idebate
Social Security should be privatized ,procon
Illegal downloaders should be cut off from the internet,debatewise
It is important to use a graduated response to combat unauthorised file-sharing of copyrighted material,idebate
The D.A.R.E. program is good for America's kids (K-12) ,procon
Internet access is a human right,idebate
Net Neutrality – All Internet Traffic Should Be Treated Equally,debatewise
